occurrenceID,institutionCode,catalogNumber,scientificName,order,family,genus,specificEpithet,day,month,year,countryCode,stateProvince,decimalLatitude,decimalLongitude,dynamicProperties,occurrenceRemarks,fieldNotes,body mass,body mass ambiguous,body mass units inferred,ear from notch,ear length,ear length units inferred,embryo count,embryo length,embryo size units inferred,forearm length,hind foot length,hind foot length units inferred,hind foot with claw,lactation,life stage,nipple,nipple count,pregnancy,sex,tail length,tail length estimated,tail length units inferred,testicle description,testicle length,testicle size units inferred,testicle width,total length,total length ambiguous,total length estimated,total length units inferred,tragus length,vagina
6284ddc3-81dd-4118-afda-7f64116714d8,ASU,ASUMAC004749,"Thomomys bottae (Eydoux & Gervais, 1836)",Rodentia,Geomyidae,Thomomys,bottae,14,5,1969,US,Arizona,33.38531,-112.00414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94df71e5-b012-4f4e-b3f1-2163b6f76e13,ASU,ASUMAC002024,"Dipodomys merriami Mearns, 1890",Rodentia,Heteromyidae,Dipodomys,merriami,19,2,1966,US,Arizona,33.6672,-111.91678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c15ff598-bca5-43d6-9b85-65c321296ac6,ASU,ASUMAC003402,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,9,7,1967,US,Arizona,32.7003,-109.78715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e174151-aff7-4911-8351-1ab0a716907f,ASU,ASUMAC004750,"Chaetodipus intermedius (Merriam, 1889)",Rodentia,Heteromyidae,Chaetodipus,intermedius,24,2,1969,US,Arizona,33.64538,-112.07136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abe36887-56e7-4116-b2c0-ca93a697c8f2,ASU,ASUMAC002023,"Neotoma albigula Hartley, 1894",Rodentia,Cricetidae,Neotoma,albigula,26,3,1966,US,Arizona,33.98504,-112.73196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c733fcaf-01e2-4f01-9aee-56acd7248251,ASU,ASUMAC003403,"Peromyscus boylii (Baird, 1855)",Rodentia,Cricetidae,Peromyscus,boylii,24,6,1967,US,Arizona,34.16135,-110.50426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8e2812a-8fda-4b46-bcf3-e458f523ca2c,ASU,ASUMAC002022,"Sigmodon hispidus Say & Ord, 1825",Rodentia,Cricetidae,Sigmodon,hispidus,26,2,1966,US,Arizona,33.60376,-112.09179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935ad4ca-b95f-44ca-8701-6f7eacf5842c,ASU,ASUMAC004748,"Perognathus amplus Osgood, 1900",Rodentia,Heteromyidae,Perognathus,amplus,2,4,1969,US,Arizona,33.45479,-111.60102,,"Previously indicated on Symbiota ""SKULL ONLY"" changed 2021-06-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d9a5f6-d0d7-48fe-9502-cefa84c4e42e,ASU,ASUMAC004747,"Perognathus amplus Osgood, 1900",Rodentia,Heteromyidae,Perognathus,amplus,18,3,1969,US,Arizona,33.51176,-111.68753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99b221ed-0bfa-47f5-ab9b-48ec3b24bff1,ASU,ASUMAC003406,"Otospermophilus variegatus (Erxleben, 1777)",Rodentia,Sciuridae,Otospermophilus,variegatus,24,6,1967,US,Arizona,34.16071,-110.50521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
